,,,Consommation en kWh,,,,,
,,ISE,"2,014","2,015","2,016","2,017",Nombre de pièces,Utilisation
BÂTIMENT 1,Communs,407318,"20,519","18,940","19,924","15,349",Aucun,Aucun
,Appartement 1,407302,996,526,939,"1,672",3 pièces,Résidence principale
,Appartement 2,407303,"2,230","1,773","2,048","1,665",3 pièces,Résidence principale
,Appartement 3,407304,"1,160","1,108","1,279","1,749",3 pièces,Résidence principale
,Appartement 4,407305,778,593,911,790,Studio,Résidence principale
,Appartement 5,407306,762,598,414,"1,037",2 pièces,Résidence principale
,Appartement 6,407307,"1,040",832,"1,135","1,091",2 pièces,Résidence principale
,Appartement 7,407308,745,976,"1,094","1,328",3 pièces,Résidence principale
,Appartement 8,407309,"2,163","1,776","1,652","1,506",3 pièces,Résidence principale
,Appartement 9,407311,"1,231","1,126","1,334","1,378",3 pièces,Résidence principale
,Appartement 10,407312,546,640,668,600,Studio,Résidence secondaire
,Appartement 11,407313,735,844,871,"1,005",3 pièces,Résidence secondaire
,Appartement 12,407314,48,51,6,40,2 pièces,Résidence secondaire
,Appartement 13,407316,730,511,652,422,2 pièces,Résidence secondaire
,Appartement 14,1021896,"7,496","7,901","10,164","9,213",3 pièces,Résidence principale
BÂTIMENT 2,Communs,409483,"5,000","4,544","3,913","5,155",Aucun,Aucun
,Blanchisserie,409482,"88,452","101,532","80,863","93,475",Aucun,Aucun
,Appartement 1,409469,12,12,46,22,3 pièces,Résidence secondaire
,Appartement 2,409470,832,764,606,515,2 pièces,Résidence secondaire
,Appartement 3,409471,496,266,617,"1,231",3 pièces,Résidence principale
,Appartement 4,409472,428,162,293,507,2 pièces,Résidence principale
,Appartement 5,409473,899,748,674,927,2 pièces,Résidence principale
,Appartement 6,409474,"3,782","3,034","3,140","3,385",4 pièces,Résidence principale
,Zone commerciale 1,409475,"5,812","5,813","5,653","5,576",Aucun,Aucun
,Zone commerciale 2,409477,"2,764","3,096","3,518","3,796",Aucun,Aucun
,Appartement 7,409478,758,624,537,879,2 pièces,Résidence principale
,Appartement 8,409480,"2,808","3,034","2,721","1,605",4 pièces,Résidence principale
BÂTIMENT 3,Communs,409348,"10,186","9,676","7,241","7,545",Aucun,Aucun
,Appartement 1,409338,"1,974","1,923","2,035","2,627",4 pièces,Résidence principale
,Appartement 2,409339,844,"1,056","1,599","2,532",4 pièces,Résidence principale
,Appartement 3,409340,140,168,201,131,2 pièces,Résidence secondaire
,Appartement 4,409341,"1,338","2,323","2,364","1,615",3 pièces,Résidence principale
,Appartement 5,409342,"1,021",896,902,930,2 pièces,Résidence principale
,Appartement 6,409343,"1,022",758,636,569,2 pièces,Résidence principale
,Appartement 7,409344,"2,905","3,621","2,074","2,208",4 pièces,Résidence principale
,Appartement 8,409345,"1,371","2,804","1,875","1,642",3 pièces,Résidence principale
